City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Rikitea,PF,78.62,clear sky,-23.1203,-134.9692,People ThankYou
4,Manaus,BR,82.89,scattered clouds,-3.1019,-60.025,Manaus Hotéis Millennium
5,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
14,Hermanus,ZA,81.81,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
16,Bambous Virieux,MU,80.85,light intensity shower rain,-20.3428,57.7575,Casa Tia Villa
21,Anuradhapura,LK,76.3,light rain,8.3565,80.4173,Nilketha Villa Eco Hotel
30,Sao Joao Da Barra,BR,80.69,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
33,Wana,PK,81.27,few clouds,32.2989,69.5725,Rest House at Wana Camp
39,Hithadhoo,MV,84.24,scattered clouds,-0.6,73.0833,Scoop Guest House
43,Puerto Ayora,EC,78.78,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
47,Mercedes,AR,77.04,clear sky,-34.6515,-59.4307,Posada del Inti Centro
50,Mutata,CO,78.62,overcast clouds,7.2441,-76.4356,RESIDENCIA ZULIMA
51,Atuona,PF,78.75,few clouds,-9.8,-139.0333,Villa Enata
53,Kalmunai,LK,82.17,overcast clouds,7.4167,81.8167,VS Villa
54,Kavaratti,IN,83.79,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
59,Georgetown,MY,84.15,few clouds,5.4112,100.3354,Cititel Penang
63,Arraial Do Cabo,BR,82.36,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
69,Bengkulu,ID,78.94,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
74,Padang,ID,84.25,moderate rain,-0.9492,100.3543,Mercure Padang
76,Sinnamary,GF,80.51,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
78,Rocha,UY,76.48,clear sky,-34.4833,-54.3333,Hotel Arrarte
85,Binzhou,CN,76.8,clear sky,37.3667,118.0167,Hampton By Hilton Binzhou
94,Tautira,PF,80.22,light rain,-17.7333,-149.15,Pension Oaoa
97,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
103,Cape Town,ZA,84.11,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
109,Boa Vista,BR,82.38,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
116,Maxixe,MZ,76.82,drizzle,-23.8597,35.3472,Oceano
117,Alofi,NU,75.09,clear sky,-19.0595,-169.9187,Taloa Heights
121,Souillac,MU,80.98,light intensity shower rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
122,Mitsamiouli,KM,83.32,broken clouds,-11.3847,43.2844,Foyer ADM
134,Vila Velha,BR,82.35,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
139,Pringsewu,ID,75.42,broken clouds,-5.3582,104.9744,Urban Style by Front One
147,Morant Bay,JM,83.71,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
148,Omboue,GA,82.85,overcast clouds,-1.5746,9.2618,Hotel Olako
152,Ewa Beach,US,75.15,overcast clouds,21.3156,-158.0072,Base Lodging
