City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Aklavik,CA,2022-04-10 13:43:47,68.2191,-135.0107,-17.12,98,85,2.33,overcast clouds
1,Rikitea,PF,2022-04-10 13:39:28,-23.1203,-134.9692,78.62,73,1,15.68,clear sky
2,Presque Isle,US,2022-04-10 13:43:47,46.6811,-68.0159,41.18,100,100,0.0,mist
3,Jamestown,US,2022-04-10 13:43:47,42.097,-79.2353,35.19,52,100,14.97,overcast clouds
4,Manaus,BR,2022-04-10 13:43:48,-3.1019,-60.025,82.89,78,40,2.3,scattered clouds
5,Vaini,TO,2022-04-10 13:41:10,-21.2,-175.2,77.16,94,40,5.75,scattered clouds
6,Bluff,NZ,2022-04-10 13:40:59,-46.6,168.3333,49.21,88,31,8.12,scattered clouds
7,Carnarvon,AU,2022-04-10 13:43:48,-24.8667,113.6333,71.67,68,0,17.27,clear sky
8,Kashin,RU,2022-04-10 13:43:49,57.3592,37.6081,49.93,58,100,6.42,overcast clouds
9,Kruisfontein,ZA,2022-04-10 13:43:49,-34.0033,24.7314,67.89,74,95,17.83,light rain
10,Lebu,CL,2022-04-10 13:43:49,-37.6167,-73.65,53.53,83,44,16.33,scattered clouds
11,Qui Nhon,VN,2022-04-10 13:43:50,13.7667,109.2333,74.03,92,18,6.42,few clouds
12,Chokurdakh,RU,2022-04-10 13:43:50,70.6333,147.9167,-18.36,100,100,3.13,overcast clouds
13,Margate,GB,2022-04-10 13:43:50,51.3813,1.3862,55.69,61,99,1.99,overcast clouds
14,Hermanus,ZA,2022-04-10 13:43:28,-34.4187,19.2345,81.81,41,0,12.57,clear sky
15,Codrington,AU,2022-04-10 13:43:51,-38.2667,141.9667,59.22,77,100,12.55,overcast clouds
16,Bambous Virieux,MU,2022-04-10 13:43:51,-20.3428,57.7575,80.85,74,40,11.5,light intensity shower rain
17,Albany,US,2022-04-10 13:42:06,42.6001,-73.9662,39.92,68,82,1.01,broken clouds
18,Longyearbyen,SJ,2022-04-10 13:43:29,78.2186,15.6401,15.64,48,0,27.63,clear sky
19,Ushuaia,AR,2022-04-10 13:43:51,-54.8,-68.3,42.46,65,0,8.05,clear sky
20,San Quintin,MX,2022-04-10 13:43:52,30.4833,-115.95,60.31,78,95,2.86,overcast clouds
21,Anuradhapura,LK,2022-04-10 13:43:52,8.3565,80.4173,76.3,94,100,4.88,light rain
22,Bredasdorp,ZA,2022-04-10 13:43:52,-34.5322,20.0403,72.14,61,0,19.86,clear sky
23,Sao Filipe,CV,2022-04-10 13:43:53,14.8961,-24.4956,74.68,69,20,15.37,few clouds
24,New Norfolk,AU,2022-04-10 13:43:53,-42.7826,147.0587,57.65,56,53,4.0,broken clouds
25,Paramonga,PE,2022-04-10 13:43:53,-10.6667,-77.8333,70.25,83,84,6.96,broken clouds
26,Mataura,NZ,2022-04-10 13:43:54,-46.1927,168.8643,43.21,99,20,2.46,few clouds
27,Matagami,CA,2022-04-10 13:43:54,49.7502,-77.6328,24.91,86,100,11.5,overcast clouds
28,Punta Arenas,CL,2022-04-10 13:40:55,-53.15,-70.9167,44.71,70,0,2.3,clear sky
29,Port Elizabeth,ZA,2022-04-10 13:42:15,-33.918,25.5701,70.11,85,75,14.97,broken clouds
30,Sao Joao Da Barra,BR,2022-04-10 13:43:54,-21.6403,-41.0511,80.69,76,36,6.31,scattered clouds
31,Hobart,AU,2022-04-10 13:42:13,-42.8794,147.3294,58.01,76,75,5.75,broken clouds
32,Marienburg,PL,2022-04-10 13:43:55,54.0359,19.0266,49.87,51,100,18.05,overcast clouds
33,Wana,PK,2022-04-10 13:43:55,32.2989,69.5725,81.27,9,13,5.5,few clouds
34,Barrow,US,2022-04-10 13:43:56,71.2906,-156.7887,-14.78,84,0,9.22,clear sky
35,Tuktoyaktuk,CA,2022-04-10 13:43:56,69.4541,-133.0374,-7.6,77,75,9.22,broken clouds
36,Katima Mulilo,NA,2022-04-10 13:43:56,-17.5,24.2667,75.07,69,100,7.43,light rain
37,Busselton,AU,2022-04-10 13:43:57,-33.65,115.3333,57.24,73,98,5.97,overcast clouds
38,Vila Franca Do Campo,PT,2022-04-10 13:43:57,37.7167,-25.4333,55.81,68,54,23.26,broken clouds
39,Hithadhoo,MV,2022-04-10 13:43:25,-0.6,73.0833,84.24,72,25,9.04,scattered clouds
40,Qaanaaq,GL,2022-04-10 13:43:57,77.484,-69.3632,-1.64,83,69,6.06,broken clouds
41,Evanton,GB,2022-04-10 13:43:58,57.6638,-4.34,49.66,61,100,4.94,overcast clouds
42,Belmonte,BR,2022-04-10 13:43:58,-15.8631,-38.8828,85.26,63,20,7.94,few clouds
43,Puerto Ayora,EC,2022-04-10 13:40:04,-0.7393,-90.3518,78.78,80,93,7.36,overcast clouds
44,Nanortalik,GL,2022-04-10 13:43:58,60.1432,-45.2371,32.02,71,100,2.64,overcast clouds
45,San Blas,MX,2022-04-10 13:43:59,21.5167,-105.2667,64.29,80,9,1.9,clear sky
46,Fairbanks,US,2022-04-10 13:40:49,64.8378,-147.7164,12.81,61,100,4.61,overcast clouds
47,Mercedes,AR,2022-04-10 13:42:21,-34.6515,-59.4307,77.04,56,0,10.92,clear sky
48,Ribeira Grande,PT,2022-04-10 13:43:59,38.5167,-28.7,55.8,76,40,26.46,scattered clouds
49,Dikson,RU,2022-04-10 13:43:59,73.5069,80.5464,-0.9,100,54,2.71,broken clouds
50,Mutata,CO,2022-04-10 13:44:00,7.2441,-76.4356,78.62,91,100,1.99,overcast clouds
51,Atuona,PF,2022-04-10 13:44:00,-9.8,-139.0333,78.75,75,11,17.58,few clouds
52,Maldonado,UY,2022-04-10 13:41:56,-34.6667,-54.9167,72.23,50,3,10.96,clear sky
53,Kalmunai,LK,2022-04-10 13:44:00,7.4167,81.8167,82.17,75,92,2.68,overcast clouds
54,Kavaratti,IN,2022-04-10 13:44:01,10.5669,72.642,83.79,76,100,10.11,overcast clouds
55,Katsuura,JP,2022-04-10 13:44:01,35.1333,140.3,61.57,88,17,10.83,few clouds
56,Mar Del Plata,AR,2022-04-10 13:39:10,-38.0023,-57.5575,68.02,96,75,8.99,broken clouds
57,Hervey Bay,AU,2022-04-10 13:42:15,-25.2986,152.8535,74.3,75,80,11.77,broken clouds
58,San Ramon,US,2022-04-10 13:39:05,37.7799,-121.978,55.62,43,0,5.75,clear sky
59,Georgetown,MY,2022-04-10 13:40:26,5.4112,100.3354,84.15,79,20,2.3,few clouds
60,Ilulissat,GL,2022-04-10 13:44:02,69.2167,-51.1,19.42,53,75,1.14,broken clouds
61,Cidreira,BR,2022-04-10 13:44:02,-30.1811,-50.2056,73.98,80,2,12.37,clear sky
